ID_Transacao,Data_Venda,ID_Cliente,Cidade_Cliente,Nome_Produto,Categoria_Produto,Metodo_Pagamento,Valor_Unitario,Quantidade,Valor_Total
T000041,2024-01-05,C0013,Campinas,Mouse Gamer,Periféricos,Cartão de Crédito,1253.76,2,2507.52
T000042,2023-07-19,C0155,Belo Horizonte,Fone Bluetooth,Acessórios,Cartão de Débito,2168.08,1,2168.08
T000043,2024-03-04,C0518,Salvador,Monitor,Informática,Boleto,4821.62,5,24108.1
T000044,2024-07-05,C0153,Salvador,Monitor,Informática,Pix,3896.03,2,7792.06
T000045,2023-11-22,C0889,Recife,Cadeira Gamer,Móveis,Pix,3890.86,1,3890.86
T000046,2023-09-16,C0891,Curitiba,Webcam,Periféricos,Cartão de Crédito,1944.75,3,5834.25
T000047,2023-05-17,C0147,Salvador,Mouse Gamer,Periféricos,Cartão de Débito,1975.44,4,7901.76
T000048,2024-03-15,C0486,Curitiba,Fone Bluetooth,Acessórios,Cartão de Débito,4250.36,2,8500.72
T000049,2023-12-01,C0930,Rio de Janeiro,Fone Bluetooth,Acessórios,Cartão de Crédito,4114.38,4,16457.52
T000050,2024-12-01,C0665,Porto Alegre,Webcam,Periféricos,Pix,2306.82,1,2306.82
T000051,2023-03-07,C0791,Fortaleza,Webcam,Periféricos,Cartão de Débito,1715.07,4,6860.28
T000052,2024-12-27,C1064,Brasília,Teclado Mecânico,Periféricos,Cartão de Crédito,2289.6,5,11448.0
T000053,2023-01-22,C1180,Brasília,Tablet,Telefonia,Cartão de Débito,1685.81,2,3371.62
T000054,2023-01-13,C0340,Curitiba,Fone Bluetooth,Acessórios,Pix,4910.15,1,4910.15
T000055,2024-09-30,C0298,São Paulo,Teclado Mecânico,Periféricos,Pix,2886.06,2,5772.12
T000056,2023-02-28,C1002,Recife,Fone Bluetooth,Acessórios,Cartão de Débito,4316.64,5,21583.2
T000057,2023-09-02,C0102,Porto Alegre,Notebook,Informática,Pix,753.09,5,3765.45
T000058,2023-07-07,C0321,Belo Horizonte,Monitor,Informática,Cartão de Crédito,1998.45,5,9992.25
T000059,2024-08-10,C0754,Brasília,Monitor,Informática,Cartão de Crédito,4035.5,3,12106.5
T000060,2024-11-29,C0814,Recife,Cadeira Gamer,Móveis,Cartão de Débito,4800.45,2,9600.9
T000061,2024-12-02,C0371,Curitiba,Smartphone,Telefonia,Cartão de Crédito,3459.01,2,6918.02
T000062,2024-08-28,C0631,Porto Alegre,Carregador Portátil,Acessórios,Pix,4379.5,1,4379.5
T000063,2024-06-01,C0369,Porto Alegre,Carregador Portátil,Acessórios,Cartão de Crédito,4792.58,3,14377.74
T000064,2023-05-15,C1146,Rio de Janeiro,Tablet,Telefonia,Boleto,3738.63,2,7477.26
T000065,2023-07-13,C1188,Fortaleza,Webcam,Periféricos,Pix,4854.97,5,24274.85
T000066,2024-08-19,C0028,Belo Horizonte,Cadeira Gamer,Móveis,Boleto,625.13,5,3125.65
T000067,2024-06-29,C0827,Fortaleza,Webcam,Periféricos,Cartão de Débito,1586.88,2,3173.76
T000068,2024-10-13,C0080,Curitiba,Monitor,Informática,Boleto,4155.42,4,16621.68
T000069,2024-04-30,C0331,Campinas,Monitor,Informática,Cartão de Débito,1153.63,4,4614.52
T000070,2023-02-12,C0519,Belo Horizonte,Fone Bluetooth,Acessórios,Cartão de Crédito,360.18,4,1440.72
T000071,2023-07-25,C0189,Rio de Janeiro,Carregador Portátil,Acessórios,Cartão de Crédito,3248.25,3,9744.75
T000072,2024-06-06,C0854,Salvador,Cadeira Gamer,Móveis,Boleto,4424.17,5,22120.85
T000073,2024-02-06,C0419,Curitiba,Tablet,Telefonia,Cartão de Débito,3281.69,1,3281.69
T000074,2024-08-21,C1052,Rio de Janeiro,Fone Bluetooth,Acessórios,Boleto,1203.33,4,4813.32
T000075,2024-06-20,C1171,Campinas,Webcam,Periféricos,Boleto,2722.02,3,8166.06
T000076,2024-04-10,C0921,Fortaleza,Carregador Portátil,Acessórios,Cartão de Débito,490.76,5,2453.8
T000077,2023-12-12,C0257,Rio de Janeiro,Smartphone,Telefonia,Boleto,3819.3,1,3819.3
T000078,2024-02-29,C0502,Porto Alegre,Smartphone,Telefonia,Cartão de Débito,4710.73,5,23553.65
T000079,2023-06-16,C0739,Brasília,Fone Bluetooth,Acessórios,Cartão de Débito,4202.38,2,8404.76
T000080,2024-12-28,C0002,Porto Alegre,Cadeira Gamer,Móveis,Boleto,1017.03,5,5085.15
T000081,2024-10-27,C0324,Recife,Teclado Mecânico,Periféricos,Cartão de Débito,1694.68,2,3389.36
T000082,2023-06-17,C0067,Fortaleza,Fone Bluetooth,Acessórios,Cartão de Débito,542.33,5,2711.65
T000083,2023-01-14,C0368,Brasília,Fone Bluetooth,Acessórios,Pix,4555.24,1,4555.24
T000084,2024-03-04,C0911,Fortaleza,Monitor,Informática,Boleto,4509.67,5,22548.35
T000085,2023-09-13,C0718,Campinas,Mouse Gamer,Periféricos,Pix,4051.34,1,4051.34
T000086,2023-06-20,C0526,Brasília,Notebook,Informática,Cartão de Débito,913.43,2,1826.86
T000087,2024-12-13,C0878,Curitiba,Teclado Mecânico,Periféricos,Pix,578.02,1,578.02
T000088,2024-01-13,C0062,Recife,Monitor,Informática,Cartão de Débito,2486.48,3,7459.44
T000089,2023-04-15,C0286,Fortaleza,Webcam,Periféricos,Cartão de Crédito,501.91,5,2509.55
T000090,2023-01-03,C0565,Campinas,Notebook,Informática,Cartão de Débito,224.22,3,672.66
T000091,2024-02-11,C0755,Brasília,Monitor,Informática,Pix,735.84,4,2943.36
T000092,2024-01-14,C0186,Recife,Mouse Gamer,Periféricos,Cartão de Débito,3299.74,1,3299.74
T000093,2024-10-27,C0532,Campinas,Mouse Gamer,Periféricos,Cartão de Débito,1015.15,5,5075.75
T000094,2023-03-14,C0755,Campinas,Teclado Mecânico,Periféricos,Boleto,1100.45,4,4401.8
T000095,2024-06-23,C0006,São Paulo,Notebook,Informática,Pix,3268.51,5,16342.55
T000096,2024-08-25,C0200,Fortaleza,Fone Bluetooth,Acessórios,Cartão de Débito,63.58,3,190.74
T000097,2023-08-11,C0705,Rio de Janeiro,Monitor,Informática,Pix,2039.56,2,4079.12
T000098,2023-01-18,C0433,Curitiba,Carregador Portátil,Acessórios,Cartão de Débito,4245.87,4,16983.48
T000099,2024-10-16,C0033,Brasília,Smartphone,Telefonia,Pix,2288.32,1,2288.32
T000100,2024-06-26,C1129,Rio de Janeiro,Monitor,Informática,Boleto,1047.39,5,5236.95
T000101,2024-09-28,C0014,Campinas,Teclado Mecânico,Periféricos,Cartão de Débito,486.58,3,1459.74
T000102,2024-07-08,C0066,Porto Alegre,Webcam,Periféricos,Cartão de Crédito,4100.37,1,4100.37
T000103,2023-04-15,C1161,Belo Horizonte,Smartphone,Telefonia,Cartão de Crédito,1389.65,2,2779.3
T000104,2023-01-22,C0017,Curitiba,Tablet,Telefonia,Pix,4932.35,4,19729.4
T000105,2024-12-07,C0660,Brasília,Monitor,Informática,Pix,1596.65,2,3193.3
T000106,2024-05-17,C0598,Campinas,Teclado Mecânico,Periféricos,Cartão de Débito,3250.66,4,13002.64
T000107,2023-06-02,C0669,Recife,Cadeira Gamer,Móveis,Cartão de Débito,3587.68,3,10763.04
T000108,2023-06-30,C0380,Recife,Mouse Gamer,Periféricos,Boleto,4213.58,1,4213.58
T000109,2024-07-11,C0142,Brasília,Notebook,Informática,Cartão de Débito,1344.66,4,5378.64
T000110,2023-07-05,C1158,Brasília,Carregador Portátil,Acessórios,Boleto,3884.19,1,3884.19
T000111,2024-04-20,C0166,Belo Horizonte,Fone Bluetooth,Acessórios,Boleto,4722.78,3,14168.34
T000112,2023-10-27,C0081,Salvador,Webcam,Periféricos,Cartão de Crédito,74.2,5,371.0
T000113,2024-12-12,C0528,Belo Horizonte,Cadeira Gamer,Móveis,Cartão de Crédito,2421.67,1,2421.67
T000114,2024-09-30,C0704,Porto Alegre,Teclado Mecânico,Periféricos,Cartão de Crédito,4513.03,4,18052.12
T000115,2023-10-08,C0955,Porto Alegre,Teclado Mecânico,Periféricos,Boleto,1117.61,3,3352.83
T000116,2023-03-26,C0734,Curitiba,Notebook,Informática,Cartão de Crédito,1006.13,3,3018.39
T000117,2024-08-02,C0199,Fortaleza,Carregador Portátil,Acessórios,Cartão de Débito,3005.1,2,6010.2
T000118,2023-02-28,C0540,Rio de Janeiro,Notebook,Informática,Boleto,3939.45,3,11818.35
T000119,2024-07-18,C0265,Recife,Smartphone,Telefonia,Pix,2923.14,2,5846.28
T000120,2023-03-21,C0121,Recife,Teclado Mecânico,Periféricos,Cartão de Débito,706.69,4,2826.76
T000121,2024-12-29,C0264,Recife,Notebook,Informática,Cartão de Débito,2923.48,2,5846.96
T000122,2024-01-04,C0205,Recife,Mouse Gamer,Periféricos,Boleto,4742.25,3,14226.75
T000123,2024-08-25,C1096,Curitiba,Fone Bluetooth,Acessórios,Boleto,3760.53,5,18802.65
T000124,2023-07-28,C0777,Campinas,Teclado Mecânico,Periféricos,Boleto,2584.94,3,7754.82
T000125,2024-09-02,C0014,Salvador,Monitor,Informática,Cartão de Débito,1302.73,1,1302.73
T000126,2024-01-11,C0718,Recife,Carregador Portátil,Acessórios,Cartão de Débito,792.55,4,3170.2
T000127,2024-01-10,C1092,Brasília,Carregador Portátil,Acessórios,Boleto,4428.22,2,8856.44
T000128,2024-05-25,C0149,Fortaleza,Mouse Gamer,Periféricos,Cartão de Débito,2545.58,3,7636.74
T000129,2023-03-08,C1084,Porto Alegre,Monitor,Informática,Pix,4721.35,4,18885.4
T000130,2024-09-25,C0544,Porto Alegre,Notebook,Informática,Pix,3906.32,5,19531.6
T000131,2023-07-18,C0686,Campinas,Mouse Gamer,Periféricos,Boleto,561.85,2,1123.7
T000132,2024-09-26,C0308,Brasília,Cadeira Gamer,Móveis,Pix,4196.74,3,12590.22
T000133,2024-07-06,C0045,Brasília,Cadeira Gamer,Móveis,Pix,3206.05,3,9618.15
T000134,2024-07-20,C1176,Brasília,Mouse Gamer,Periféricos,Cartão de Crédito,3755.88,3,11267.64
T000135,2024-11-15,C0780,Brasília,Teclado Mecânico,Periféricos,Cartão de Crédito,1492.8,1,1492.8
T000136,2024-09-06,C0269,Fortaleza,Carregador Portátil,Acessórios,Pix,2655.96,1,2655.96
T000137,2023-02-25,C0597,Curitiba,Tablet,Telefonia,Pix,4941.29,3,14823.87
T000138,2023-03-15,C0702,Porto Alegre,Monitor,Informática,Pix,4498.7,2,8997.4
T000139,2023-09-08,C0506,Brasília,Monitor,Informática,Pix,58.4,3,175.2
T000140,2024-01-14,C1120,Porto Alegre,Carregador Portátil,Acessórios,Boleto,3943.42,4,15773.68
T000141,2023-03-30,C0174,Fortaleza,Fone Bluetooth,Acessórios,Boleto,4515.66,2,9031.32
T000142,2023-10-14,C1120,Recife,Mouse Gamer,Periféricos,Boleto,4689.47,5,23447.35
T000143,2023-02-21,C0697,São Paulo,Mouse Gamer,Periféricos,Pix,1776.23,1,1776.23
T000144,2023-07-02,C0665,Curitiba,Fone Bluetooth,Acessórios,Cartão de Crédito,863.64,2,1727.28
T000145,2024-07-25,C0827,Recife,Carregador Portátil,Acessórios,Cartão de Débito,872.33,2,1744.66
T000146,2023-09-14,C1159,Curitiba,Tablet,Telefonia,Pix,2328.47,2,4656.94
T000147,2023-02-07,C0759,Rio de Janeiro,Cadeira Gamer,Móveis,Cartão de Crédito,394.73,5,1973.65
T000148,2023-07-05,C0841,Recife,Monitor,Informática,Cartão de Débito,941.11,5,4705.55
T000149,2023-10-01,C0569,Fortaleza,Monitor,Informática,Pix,3244.74,1,3244.74
T000150,2024-04-17,C1093,Campinas,Carregador Portátil,Acessórios,Boleto,1395.87,5,6979.35
T000151,2023-12-21,C0673,Campinas,Mouse Gamer,Periféricos,Boleto,707.18,1,707.18
T000152,2023-09-16,C0422,Fortaleza,Carregador Portátil,Acessórios,Boleto,3639.9,1,3639.9
T000153,2023-06-01,C0662,Salvador,Monitor,Informática,Boleto,2249.22,3,6747.66
T000154,2024-10-26,C0333,Salvador,Webcam,Periféricos,Pix,520.19,4,2080.76
T000155,2023-03-30,C0313,Porto Alegre,Carregador Portátil,Acessórios,Cartão de Crédito,1012.51,4,4050.04
T000156,2023-07-23,C0561,Recife,Monitor,Informática,Cartão de Débito,4798.92,4,19195.68
T000157,2023-09-17,C0946,São Paulo,Smartphone,Telefonia,Cartão de Débito,2544.43,3,7633.29
T000158,2024-10-01,C0956,Brasília,Notebook,Informática,Cartão de Crédito,752.53,4,3010.12
T000159,2024-12-29,C0598,Recife,Mouse Gamer,Periféricos,Boleto,583.89,3,1751.67
T000160,2023-01-24,C0450,Recife,Webcam,Periféricos,Boleto,1186.99,2,2373.98
T000161,2023-07-29,C0702,Porto Alegre,Carregador Portátil,Acessórios,Cartão de Débito,2580.78,3,7742.34
T000162,2023-11-04,C0142,Rio de Janeiro,Notebook,Informática,Cartão de Crédito,2868.76,3,8606.28
T000163,2024-02-02,C0636,Fortaleza,Teclado Mecânico,Periféricos,Cartão de Crédito,4504.38,1,4504.38
T000164,2023-09-20,C0500,Rio de Janeiro,Fone Bluetooth,Acessórios,Cartão de Débito,684.46,5,3422.3
T000165,2023-09-22,C0776,Brasília,Carregador Portátil,Acessórios,Cartão de Crédito,936.17,2,1872.34
T000166,2023-04-12,C1185,São Paulo,Mouse Gamer,Periféricos,Cartão de Débito,1041.5,2,2083.0
T000167,2024-02-20,C0942,Porto Alegre,Notebook,Informática,Boleto,4128.39,5,20641.95
T000168,2024-03-27,C0275,São Paulo,Teclado Mecânico,Periféricos,Boleto,4482.42,5,22412.1
T000169,2023-02-27,C0958,Salvador,Teclado Mecânico,Periféricos,Pix,2568.09,4,10272.36
T000170,2024-05-23,C0698,Fortaleza,Tablet,Telefonia,Pix,3881.58,5,19407.9
T000171,2024-04-12,C1190,Recife,Webcam,Periféricos,Cartão de Crédito,641.25,5,3206.25
T000172,2023-01-08,C0703,Porto Alegre,Webcam,Periféricos,Boleto,3188.49,1,3188.49
T000173,2023-03-26,C0807,Campinas,Monitor,Informática,Pix,3318.32,3,9954.96
T000174,2024-03-17,C0467,Rio de Janeiro,Mouse Gamer,Periféricos,Cartão de Crédito,2263.04,3,6789.12
T000175,2023-03-08,C0695,Belo Horizonte,Monitor,Informática,Pix,2300.81,4,9203.24
T000176,2024-01-17,C0567,Fortaleza,Webcam,Periféricos,Cartão de Crédito,1125.57,3,3376.71
T000177,2024-01-15,C0901,Recife,Teclado Mecânico,Periféricos,Cartão de Débito,3678.41,3,11035.23
T000178,2023-09-18,C0766,Curitiba,Mouse Gamer,Periféricos,Pix,2895.42,1,2895.42
T000179,2024-06-21,C0746,Fortaleza,Fone Bluetooth,Acessórios,Pix,1527.11,1,1527.11
T000180,2024-10-11,C0643,Salvador,Smartphone,Telefonia,Boleto,4140.47,1,4140.47
T000181,2024-06-06,C0437,Curitiba,Fone Bluetooth,Acessórios,Boleto,4793.33,2,9586.66
T000182,2023-04-01,C0300,Brasília,Smartphone,Telefonia,Pix,2457.35,2,4914.7
T000183,2023-02-02,C0542,Fortaleza,Fone Bluetooth,Acessórios,Cartão de Débito,853.57,2,1707.14
T000184,2023-05-11,C1003,Brasília,Fone Bluetooth,Acessórios,Cartão de Crédito,2099.33,3,6297.99
T000185,2024-08-15,C1100,Curitiba,Webcam,Periféricos,Cartão de Débito,267.94,3,803.82
T000186,2024-03-06,C0689,Campinas,Teclado Mecânico,Periféricos,Cartão de Crédito,4794.62,2,9589.24
T000187,2023-11-21,C0730,Rio de Janeiro,Tablet,Telefonia,Cartão de Crédito,1943.05,1,1943.05
T000188,2023-08-18,C0647,Recife,Monitor,Informática,Boleto,3614.35,5,18071.75
T000189,2024-11-16,C1170,Porto Alegre,Fone Bluetooth,Acessórios,Pix,860.86,2,1721.72
T000190,2024-04-11,C0166,Curitiba,Teclado Mecânico,Periféricos,Boleto,1383.11,2,2766.22
T000191,2023-08-13,C0072,São Paulo,Tablet,Telefonia,Boleto,1803.02,5,9015.1
T000192,2023-02-18,C0584,Rio de Janeiro,Webcam,Periféricos,Pix,1594.15,5,7970.75
T000193,2024-01-08,C0702,Fortaleza,Teclado Mecânico,Periféricos,Cartão de Débito,1668.95,3,5006.85
T000194,2023-02-18,C0307,Curitiba,Carregador Portátil,Acessórios,Pix,4188.35,5,20941.75
T000195,2024-06-29,C1170,Curitiba,Monitor,Informática,Cartão de Crédito,1228.64,3,3685.92
T000196,2023-05-13,C0143,Salvador,Carregador Portátil,Acessórios,Boleto,1694.04,3,5082.12
T000197,2023-12-25,C0593,Fortaleza,Monitor,Informática,Cartão de Débito,4500.1,3,13500.3
T000198,2023-12-06,C0677,Porto Alegre,Fone Bluetooth,Acessórios,Boleto,1042.51,5,5212.55
T000199,2023-09-14,C0716,São Paulo,Cadeira Gamer,Móveis,Boleto,1809.1,2,3618.2
T000200,2024-08-07,C1006,Belo Horizonte,Monitor,Informática,Boleto,4940.07,1,4940.07
T000201,2023-09-02,C0388,Porto Alegre,Monitor,Informática,Boleto,4010.41,3,12031.23
T000202,2023-07-11,C0132,Recife,Teclado Mecânico,Periféricos,Boleto,1697.78,5,8488.9
T000203,2023-01-31,C1048,Belo Horizonte,Webcam,Periféricos,Cartão de Crédito,540.22,4,2160.88
T000204,2023-10-28,C0838,Belo Horizonte,Fone Bluetooth,Acessórios,Cartão de Débito,4214.46,1,4214.46
T000205,2023-12-27,C0455,Porto Alegre,Fone Bluetooth,Acessórios,Cartão de Crédito,3473.71,5,17368.55
T000206,2023-06-26,C0204,Curitiba,Monitor,Informática,Pix,454.68,1,454.68
T000207,2024-01-24,C0680,Campinas,Cadeira Gamer,Móveis,Pix,4113.19,4,16452.76
T000208,2023-09-21,C0441,Belo Horizonte,Tablet,Telefonia,Pix,4946.54,4,19786.16
T000209,2024-01-20,C1126,Salvador,Webcam,Periféricos,Pix,1569.24,2,3138.48
T000210,2024-08-20,C0537,Salvador,Cadeira Gamer,Móveis,Cartão de Débito,2794.22,3,8382.66
T000211,2024-04-29,C1083,Fortaleza,Fone Bluetooth,Acessórios,Cartão de Crédito,3635.81,1,3635.81
T000212,2023-06-15,C0687,Belo Horizonte,Carregador Portátil,Acessórios,Cartão de Débito,2217.91,4,8871.64
T000213,2023-03-13,C0276,Curitiba,Monitor,Informática,Pix,187.13,3,561.39
T000214,2024-09-05,C0762,Recife,Monitor,Informática,Cartão de Crédito,160.99,5,804.95
T000215,2024-12-12,C0169,Belo Horizonte,Fone Bluetooth,Acessórios,Boleto,3621.93,2,7243.86
T000216,2023-09-30,C0083,Recife,Smartphone,Telefonia,Boleto,1269.1,5,6345.5
T000217,2023-06-12,C1054,São Paulo,Smartphone,Telefonia,Boleto,4522.64,2,9045.28
T000218,2024-12-16,C0373,Campinas,Fone Bluetooth,Acessórios,Cartão de Débito,331.17,4,1324.68
T000219,2023-02-03,C0892,Curitiba,Smartphone,Telefonia,Pix,847.81,5,4239.05
T000220,2023-01-08,C0345,Campinas,Teclado Mecânico,Periféricos,Pix,2310.04,4,9240.16
T000221,2023-07-20,C0346,Brasília,Smartphone,Telefonia,Cartão de Crédito,1620.06,4,6480.24
T000222,2023-11-26,C0033,São Paulo,Notebook,Informática,Cartão de Crédito,1759.94,1,1759.94
T000223,2024-04-23,C0643,São Paulo,Webcam,Periféricos,Pix,2613.12,5,13065.6
T000224,2024-11-19,C0261,Recife,Smartphone,Telefonia,Cartão de Débito,4161.17,1,4161.17
T000225,2024-09-13,C0763,São Paulo,Teclado Mecânico,Periféricos,Pix,372.13,2,744.26
T000226,2024-10-23,C0118,Belo Horizonte,Smartphone,Telefonia,Boleto,3217.26,1,3217.26
T000227,2024-02-29,C1083,Fortaleza,Cadeira Gamer,Móveis,Cartão de Débito,3465.93,2,6931.86
T000228,2024-08-05,C0518,Rio de Janeiro,Monitor,Informática,Pix,1591.05,3,4773.15
T000229,2023-06-13,C0671,Porto Alegre,Carregador Portátil,Acessórios,Boleto,4354.56,5,21772.8
T000230,2024-08-14,C0223,Brasília,Smartphone,Telefonia,Cartão de Crédito,2774.38,2,5548.76
T000231,2023-09-02,C0081,Salvador,Cadeira Gamer,Móveis,Cartão de Crédito,1669.19,5,8345.95
T000232,2023-03-26,C1168,Belo Horizonte,Tablet,Telefonia,Cartão de Crédito,2518.28,4,10073.12
T000233,2024-08-15,C0914,Porto Alegre,Teclado Mecânico,Periféricos,Pix,182.24,4,728.96
T000234,2024-02-06,C0125,Curitiba,Smartphone,Telefonia,Pix,2140.08,1,2140.08
T000235,2023-06-05,C0828,Brasília,Webcam,Periféricos,Boleto,3722.12,4,14888.48
T000236,2023-07-17,C0550,São Paulo,Cadeira Gamer,Móveis,Boleto,4833.46,3,14500.38
T000237,2023-04-05,C0629,Recife,Webcam,Periféricos,Cartão de Crédito,4238.84,4,16955.36
T000238,2023-05-09,C0887,São Paulo,Mouse Gamer,Periféricos,Cartão de Débito,1576.02,3,4728.06
T000239,2024-12-08,C1093,Campinas,Cadeira Gamer,Móveis,Cartão de Débito,2526.98,3,7580.94
T000240,2023-05-26,C0780,Fortaleza,Carregador Portátil,Acessórios,Pix,4469.13,1,4469.13
T000241,2023-08-22,C0974,Recife,Cadeira Gamer,Móveis,Cartão de Débito,1085.53,4,4342.12
T000242,2024-01-01,C0587,Porto Alegre,Teclado Mecânico,Periféricos,Pix,4000.89,4,16003.56
T000243,2024-08-08,C0179,São Paulo,Webcam,Periféricos,Pix,3758.18,5,18790.9
T000244,2023-03-04,C0425,Campinas,Teclado Mecânico,Periféricos,Boleto,4930.22,4,19720.88
T000245,2024-01-20,C0023,Fortaleza,Fone Bluetooth,Acessórios,Boleto,1572.66,4,6290.64
T000246,2023-03-19,C1062,São Paulo,Teclado Mecânico,Periféricos,Cartão de Débito,1574.48,4,6297.92
T000247,2023-07-18,C0973,Belo Horizonte,Tablet,Telefonia,Cartão de Débito,4440.55,5,22202.75
T000248,2024-08-22,C0197,Rio de Janeiro,Webcam,Periféricos,Pix,4752.92,4,19011.68
T000249,2024-05-03,C0243,Porto Alegre,Cadeira Gamer,Móveis,Cartão de Crédito,3620.38,3,10861.14
T000250,2023-03-06,C1002,Recife,Fone Bluetooth,Acessórios,Cartão de Débito,4740.27,1,4740.27
T000251,2023-01-08,C0683,Fortaleza,Webcam,Periféricos,Pix,4465.19,1,4465.19
T000252,2023-05-01,C0651,Rio de Janeiro,Teclado Mecânico,Periféricos,Cartão de Crédito,1152.46,3,3457.38
T000253,2024-10-01,C0891,Fortaleza,Notebook,Informática,Cartão de Crédito,2426.25,4,9705.0
T000254,2023-03-13,C1027,Fortaleza,Cadeira Gamer,Móveis,Cartão de Crédito,2177.39,1,2177.39
T000255,2024-05-23,C1105,Campinas,Notebook,Informática,Boleto,4885.86,2,9771.72
T000256,2024-03-18,C0261,Rio de Janeiro,Carregador Portátil,Acessórios,Pix,1041.0,4,4164.0
T000257,2023-12-12,C1054,Recife,Monitor,Informática,Cartão de Débito,192.45,4,769.8
T000258,2023-02-06,C0515,Rio de Janeiro,Monitor,Informática,Boleto,4755.53,4,19022.12
T000259,2023-04-13,C0201,Campinas,Fone Bluetooth,Acessórios,Cartão de Crédito,4911.97,1,4911.97
T000260,2023-09-17,C0504,Fortaleza,Notebook,Informática,Pix,2310.86,1,2310.86
T000261,2024-10-08,C0278,Recife,Fone Bluetooth,Acessórios,Boleto,3467.22,1,3467.22
